symptom,topology_note,show_outputs,expected_fault,osi_layer,concept_tag,severity
PC gets IP but cannot ping default gateway.,"PC connected to Switch1 Fa0/1, Router on Gi0/1 (Router-on-a-stick).","Switch1# show vlan brief -> Fa0/1 is in VLAN 1 (default), expected VLAN 10.",Access port assigned to wrong VLAN.,Layer 2,VLAN,High
Devices in VLAN 20 cannot communicate with devices in VLAN 30.,Switch1 connects to Switch2 via Gi0/1.,"Switch1# show interfaces trunk -> Gi0/1 allowed vlans 1-19,30-4094. VLAN 20 is missing.",VLAN not allowed on trunk link.,Layer 2,VLAN,Medium
No connectivity for new host added to switch.,Host on Fa0/5 in VLAN 50.,Switch# show vlan -> VLAN 50 does not exist in database.,VLAN missing from switch database.,Layer 2,VLAN,High
PC cannot reach server in another subnet; ping to local gateway works.,Core switch acting as L3 gateway for VLANs.,CoreSwitch# show ip route -> no route to destination subnet. SVIs configured but ip routing is disabled.,IP routing not enabled on Layer 3 switch.,Layer 3,VLAN,Critical
PC can ping local subnet but not internet.,PC IP 192.168.1.50/24.,C:\> ipconfig -> Default Gateway: 192.168.2.1 (Different subnet).,Incorrect default gateway configured on PC.,Layer 3,Gateway,High
Hosts in subnet 10.0.0.0/24 cannot reach other subnets.,Router interface Gi0/0 is gateway for 10.0.0.0/24.,Router# show ip interface brief -> Gi0/0 is administratively down.,Gateway interface is shutdown.,Layer 1/3,Gateway,Critical
Intermittent connectivity to other subnets.,Two routers configured with HSRP for gateway redundancy.,Router1# show standby -> State is Init. Interface track is down.,HSRP state failure due to tracked interface.,Layer 3,Gateway,Medium
PC receives IP via DHCP but has no default gateway.,DHCP server configured on local router.,Router# show run | section dhcp -> default-router command is missing from pool.,DHCP pool missing default-router configuration.,Layer 3,Gateway,High
PC has 169.254.x.x APIPA address.,DHCP server on different subnet than PC.,Router(VLAN10)# show run interface vlan 10 -> ip helper-address is missing.,Missing IP helper-address for DHCP relay.,Layer 3/7,DHCP,High
"New devices cannot get IP addresses, existing devices work.",Router provides DHCP for 192.168.1.0/24.,Router# show ip dhcp pool -> Free addresses: 0.,DHCP pool exhausted.,Layer 7,DHCP,Medium
PC assigned IP address that conflicts with static server IP.,Server has static IP 10.1.1.10.,Router# show run | include dhcp excluded -> command missing.,Static IPs not excluded from DHCP pool.,Layer 3/7,DHCP,High
